[118]	train-logloss:0.282244	validation-logloss:0.465217
[119]	train-logloss:0.280831	validation-logloss:0.465048
[120]	train-logloss:0.280338	validation-logloss:0.465187
[121]	train-logloss:0.279217	validation-logloss:0.465396
[122]	train-logloss:0.278580	validation-logloss:0.465351
[123]	train-logloss:0.278019	validation-logloss:0.465388
[124]	train-logloss:0.277589	validation-logloss:0.465600
[125]	train-logloss:0.277117	validation-logloss:0.465446
[126]	train-logloss:0.276383	validation-logloss:0.465916
[127]	train-logloss:0.276015	validation-logloss:0.465992
[128]	train-logloss:0.275618	validation-logloss:0.465707
[129]	train-logloss:0.274553	validation-logloss:0.465891
[130]	train-logloss:0.273264	validation-logloss:0.466031
[131]	train-logloss:0.272892	validation-logloss:0.465917
[132]	train-logloss:0.272346	validation-logloss:0.465745
[133]	train-logloss:0.271908	validation-logloss:0.465705
[134]	train-logloss:0.271567	validation-logloss:0.465782
[135]	train-logloss:0.271204	validation-logloss:0.465527
[136]	train-logloss:0.270659	validation-logloss:0.466206
[137]	train-logloss:0.270320	validation-logloss:0.466073
[138]	train-logloss:0.269638	validation-logloss:0.466129
[139]	train-logloss:0.269275	validation-logloss:0.466310
[140]	train-logloss:0.268784	validation-logloss:0.466433
[141]	train-logloss:0.268229	validation-logloss:0.466929
[142]	train-logloss:0.267902	validation-logloss:0.467097
[143]	train-logloss:0.267416	validation-logloss:0.467224
[144]	train-logloss:0.266518	validation-logloss:0.467204
[145]	train-logloss:0.266073	validation-logloss:0.467323
[146]	train-logloss:0.265654	validation-logloss:0.467373
[147]	train-logloss:0.265151	validation-logloss:0.467103
[148]	train-logloss:0.264560	validation-logloss:0.467313
[149]	train-logloss:0.264178	validation-logloss:0.467169
